x,expt
-0.91986,-5.9211
-0.90224,-6.1344
-0.8902,-5.9519
-0.81488,-5.8311
-0.80124,-6.0748
-0.79909,-5.882
-0.78515,-5.7909
-0.74778,-6.0552
-0.73602,-6.1873
-0.69048,-6.1675
-0.67664,-6.188
-0.67655,-6.0764
-0.66071,-6.0766
-0.60933,-6.1686
-0.60723,-6.0265
-0.59151,-6.1587
-0.58743,-6.0268
-0.53406,-6.0985
-0.50624,-5.9771
-0.5004,-6.0888
-0.49241,-6.0077
-0.42522,-6.1303
-0.4251,-5.9984
-0.39739,-5.9988
-0.39712,-5.6943
-0.35589,-6.0703
-0.33216,-6.0909
-0.32216,-5.9794
-0.25651,-5.6048
-0.24894,-5.9905
-0.24091,-5.8689
-0.2231,-5.8691
-0.13569,-5.5049
-0.04435,-5.1813
-0.02445,-5.0598
0.05474,-5.0405
0.07054,-5.0813
0.07258,-5.0103
0.13801,-4.8894
0.14985,-4.9301
0.16177,-4.8694
0.16392,-4.6867
0.20348,-4.7075
0.22527,-4.6875
0.22536,-4.586
0.33349,-4.3033
0.33554,-4.2171
0.35141,-4.1868
0.36731,-4.1109
0.39009,-4.0909
0.43089,-3.8377
0.4556,-3.8736
0.45771,-3.7265
0.52929,-3.357
0.54404,-3.4637
0.55995,-3.3827
0.60551,-3.3427
0.61166,-3.1043
0.64251,-2.9119
0.64329,-3.1453
0.70189,-2.9127
0.72689,-2.6238
0.72764,-2.8876
0.77448,-2.5229
0.80098,-0.5495
0.80181,-0.722
0.8043,-2.3711
0.80523,-2.4472
0.80663,-0.8692
0.81952,-0.844
0.82574,-0.5245
0.83854,-0.6058
0.84541,-0.6617
0.84824,-0.819
0.85614,-0.8394
0.86587,-1.0324
0.86892,-0.9411
0.87852,-2.3771
0.88102,-0.6875
0.88237,-2.4989
0.89378,-0.7993
0.89455,-2.1642
0.9183,-1.0533
0.96384,-1.0336
0.96591,-0.9372
0.97983,-0.8613
1.00281,-1.7292
1.00641,-1.0189
